iter	Passed	Remaining
0	5	517
1	8	429
2	12	409
3	19	462
4	21	410
5	24	376
6	26	348
7	33	383
8	38	386
9	42	383
10	47	380
11	49	365
12	52	353
13	55	343
14	58	332
15	62	327
16	65	319
17	68	313
18	70	301
19	73	294
20	76	288
21	79	282
22	82	274
23	85	271
24	89	269
25	94	267
26	96	261
27	100	258
28	104	256
29	108	252
30	111	248
31	113	242
3232	127	253333	131	253434	135	253535	139	243636	142	243737	145	2338	136	213
3939	152	2240	145	208
41	148	204
4242	163	2143	156	199
44	159	194
4545	172	204646	175	194747	178	194848	184	194949	187	187
50	191	184
51	194	175252	197	1753	191	162
54	194	159
55	197	155
56	201	152
57	205	149
58	208	145
59	211	141
60	213	136
61	216	132
62	220	129
63	223	125
64	226	122
65	229	118
66	233	115
67	242	113
68	244	109
69	247	106
70	249	101
71	255	99
72	258	95
73	259	91
74	262	87
75	264	83
76	266	79
77	270	76
78	272	72
79	274	68
80	276	64
81	278	61
82	281	57
83	285	54
84	288	50
85	290	47
86	292	43
87	294	40
88	295	36
89	300	33
90	302	29
91	304	26
92	306	23
93	308	19
94	310	16
95	312	13
96	315	9
97	317	6
98	318	3
99	320	0
1	0
	3
99	366	0
	6
99	616	0
